Name,Race,Nationality,Best result (totally biased selection),Career start,Career end,Career end,Career duration
ParalyzE,Protoss,South Korea,,7/27/10,1/31/15,1/31/15,7/6/04
TAiLS,Protoss,South Korea,,1/31/11,3/16/15,3/16/15,2/13/04
Avenge,Protoss,South Korea,,4/18/11,2/3/15,2/3/15,10/18/03
Hush,Protoss,South Korea,,5/20/12,12/31/15,Active,8/12/03
Trust,Protoss,South Korea,,1/30/13,12/31/15,Active,11/30/02
Stork,Protoss,South Korea,The Protoss Dragon,5/20/12,12/31/15,Active,8/12/03
HwangSin,Protoss,South Korea,,6/11/11,11/15/13,11/15/13,6/6/02
Cal,Protoss,South Korea,,5/20/12,4/10/14,4/10/14,11/20/01
firebathero,Protoss,South Korea,,5/20/12,9/17/12,9/17/12,4/29/00
Leta,Protoss,South Korea,,5/8/11,4/4/13,4/4/13,11/27/01
Believe,Protoss,South Korea,,8/16/13,12/31/15,Active,5/16/02
Motive,Protoss,South Korea,,5/20/12,12/23/13,12/23/13,8/4/01
eMotion,Protoss,South Korea,,3/4/13,12/31/15,Active,10/28/02
Trend,Protoss,South Korea,,4/12/12,5/29/14,5/29/14,2/15/02
Kop,Protoss,South Korea,,5/20/12,2/20/14,2/20/14,10/2/01
Zoun,Protoss,South Korea,,3/4/13,12/31/15,Active,10/28/02
Billowy,Protoss,South Korea,,7/26/11,12/31/15,Active,6/6/04
Bisu,Protoss,South Korea,The Revolutionist,5/20/12,9/9/13,9/9/13,4/21/01
BeSt,Protoss,South Korea,,5/20/12,7/26/13,7/26/13,3/7/01
Comet,Protoss,South Korea,,1/31/13,9/30/13,9/30/13,8/29/00
Mini,Protoss,South Korea,,5/20/12,8/31/13,8/31/13,4/12/01
ToSsGirL,Protoss,South Korea,,9/1/11,6/29/12,6/29/12,10/28/00
Aria,Protoss,South Korea,,5/20/12,11/11/13,11/11/13,6/23/01
BisAnG,Protoss,South Korea,,5/20/12,4/4/13,4/4/13,11/14/00
free,Protoss,South Korea,,5/20/12,11/11/13,11/11/13,6/23/01
Pure,Protoss,South Korea,,8/23/13,10/8/13,10/8/13,2/14/00
Argo,Protoss,South Korea,,11/4/11,8/16/13,8/16/13,10/12/01
Barbie,Protoss,South Korea,,3/25/13,9/15/14,9/15/14,6/22/01
Splendid,Protoss,South Korea,,5/29/13,4/10/14,4/10/14,11/11/00
Remember,Protoss,South Korea,,6/23/13,4/24/14,4/24/14,10/31/00
cOre,Protoss,South Korea,,10/9/10,3/1/12,3/1/12,5/23/01
GuineaPig,Protoss,South Korea,,2/20/11,1/16/12,1/16/12,11/25/00
Swagger,Protoss,South Korea,,10/9/10,7/31/14,7/31/14,10/22/03
StuN,Protoss,South Korea,,8/8/13,2/23/15,2/23/15,7/17/01
Ssoja,Protoss,South Korea,,8/28/10,12/1/15,12/1/15,4/4/05
Booster,Protoss,South Korea,,2/25/13,10/14/14,10/14/14,8/18/01
MisS,Protoss,South Korea,,2/13/12,10/14/14,10/14/14,8/31/02
AcE,Protoss,South Korea,,1/10/11,8/13/14,8/13/14,8/3/03
Hoon,Protoss,South Korea,,7/1/13,11/3/13,11/3/13,5/4/00
TREME,Protoss,South Korea,,10/2/11,1/1/14,1/1/14,4/1/02
Krr,Protoss,Lithuania,,4/9/10,12/31/15,Active,9/22/05
Grubby,Protoss,Netherlands,IEM Season VII - Singapore top2,2/11/11,11/16/14,11/16/14,10/5/03
Harstem,Protoss,Netherlands,2015 WCS Season 2 top12,8/5/11,12/31/15,Active,5/27/04
MaNa,Protoss,Poland,Electronic Sports World Cup 2012 winner,3/31/10,12/31/15,Active,10/1/05
NightEnD,Protoss,Romania,DreamHack Winter 2011 top4,6/30/10,12/31/15,Active,7/2/05
TitaN,Protoss,Russia,World Cyber Games 2011 top4,9/4/11,7/22/12,7/22/12,11/17/00
fraer,Protoss,Russia,2012 DreamHack Open: Summer top4,4/30/11,12/31/15,Active,9/1/04
Pomi,Protoss,Russia,IEM Season VI - Global Challenge Kiev top8,1/21/11,4/8/12,4/8/12,3/18/01
Siw,Protoss,Russia,,3/12/11,8/12/13,8/12/13,6/2/02
PandaTank,Protoss,South Africa,Electronic Sports World Cup 2012 top8,5/8/11,1/15/14,1/15/14,9/9/02
NaNiwa,Protoss,Sweden,2011 MLG Global Invitational winner,4/7/10,12/31/15,Active,9/24/05
Seiplo,Protoss,Sweden,ASUS ROG Summer 2011 top8,11/6/10,12/8/14,12/8/14,2/1/04
SaSe,Protoss,Sweden,2012 MLG Pro Circuit Spring Championship,1/16/11,2/4/14,2/4/14,1/19/03
StarNaN,Protoss,Sweden,2012 DreamHack Open: Bucharest top4,11/24/11,12/22/15,12/22/15,1/28/04
Nifi,Protoss,Taiwan,,7/27/10,9/10/11,9/10/11,2/13/01
Has,Protoss,Taiwan,2014 Taiwan Open top3,4/26/13,12/31/15,Active,9/5/02
White-Ra,Protoss,Ukraine,IGN ProLeague Season 2 winner,2/25/10,12/31/15,Active,11/4/05
BlinG,Protoss,United Kingdom,World Cyber Games 2011 top8,7/30/10,8/11/15,8/11/15,1/11/05
Insur,Protoss,USA,StarCraft II WCS: USA Nationals top3,8/26/11,6/10/12,6/10/12,10/15/00
State,Protoss,USA,IEM Season X - gamescom top12,4/25/11,12/31/15,Active,9/6/04
Minigun,Protoss,USA,2013 WCS Season 2 America top12,12/14/10,12/31/15,Active,1/16/05
puCK,Protoss,USA,World E-sport Championships 2014 top4,4/11/12,12/31/15,Active,9/20/03
Gatored,Protoss,USA,IEM Season VI - Global Challenge New York top4,8/1/11,10/17/12,10/17/12,3/18/01
Axslav,Protoss,USA,IGN ProLeague Season 1 top4,7/27/10,11/14/13,11/14/13,4/20/03
CrunCher,Protoss,USA,2011 Pokerstrategy.com TSL3 top8,1/27/11,7/15/12,7/15/12,6/18/01
hellokitty,Protoss,USA,,4/30/11,5/27/14,5/27/14,1/27/03
Neeb,Protoss,USA,,3/27/13,12/31/15,Active,10/5/02
Arium,Protoss,USA,,6/28/13,12/31/15,Active,7/4/02
Astrea,Protoss,USA,,7/30/11,12/31/15,Active,6/2/04
Hitman,Protoss,USA,,6/28/13,12/31/15,Active,7/4/02
Brain,Random,South Korea,,3/10/12,7/1/13,7/1/13,4/22/01
iaguz,Terran,Australia,2015 WCS Season 2 top12,5/4/11,12/31/15,Active,8/28/04
Kelazhur,Terran,Brazil,,3/4/13,12/31/15,Active,10/28/02
Drewbie,Terran,Canada,IEM Season V - American Championships top4,3/22/10,6/28/13,6/28/13,4/8/03
Silver,Terran,Canada,IEM Season V - American Championships top8,2/15/10,10/15/10,10/15/10,8/29/00
MaSa,Terran,Canada,,6/12/12,12/31/15,Active,7/20/03
Loner,Terran,China,2010 BlizzCon top2,3/16/10,11/17/13,11/17/13,9/3/03
Loner,Terran,China,Blizzcon 2010 top2,10/23/10,3/31/14,3/31/14,6/8/03
XY,Terran,China,IEM Season X - Shenzhen top8,10/9/11,12/31/15,Active,3/23/04
Shana,Terran,China,,8/22/13,12/31/15,Active,5/10/02
Bunny,Terran,Denmark,2015 WCS Season 1 top4,4/21/11,12/31/15,Active,9/10/04
Naama,Terran,Finland,DreamHack Winter 2010 winner,11/4/10,4/26/14,4/26/14,6/22/03
MarineLorD,Terran,France,2015 WCS Season 2 top8,11/23/11,12/31/15,Active,2/7/04
SarenS,Terran,France,IEM Season V - European Championships top8,3/5/10,12/12/12,12/12/12,10/9/02
KrasS,Terran,Germany,,9/17/11,12/31/15,Active,4/14/04
HeRoMaRinE,Terran,Germany,,11/5/11,12/31/15,Active,2/25/04
ClouD,Terran,Italy,Electronic Sports World Cup 2011 top8,8/7/10,1/10/13,1/10/13,6/5/02
Maka,Terran,South Korea,2010 BlizzCon top6,5/19/10,1/13/13,1/13/13,8/27/02
SeleCT,Terran,South Korea,MLG Dallas 2011 Top3,8/27/10,12/31/15,Active,5/5/05
Mvp,Terran,South Korea,"MVP, nuff said.",10/1/10,10/5/14,10/5/14,1/4/04
INnoVation,Terran,South Korea,2014 Global StarCraft II League Season 3 winner,5/20/12,12/31/15,Active,8/12/03
Polt,Terran,South Korea,2015 WCS Season 1 winner,9/8/10,12/31/15,Active,4/23/05
Maru,Terran,South Korea,2015 StarCraft II StarLeague Season 1 winner,10/13/10,12/31/15,Active,3/19/05
Bomber,Terran,South Korea,2013 WCS Season 2 winner,12/28/10,12/31/15,Active,1/2/05
MMA,Terran,South Korea,2014 WCS Global Finals top2,11/30/10,12/21/15,12/21/15,1/20/05
TaeJa,Terran,South Korea,2013 DreamHack Open: Winter winner,10/30/10,12/31/15,Active,3/2/05
aLive,Terran,South Korea,IGN ProLeague Season 4 winner,11/25/10,12/31/15,Active,2/4/05
ForGG,Terran,South Korea,2014 DreamHack Open: Winter win,9/30/11,12/31/15,Active,4/1/04
Ryung,Terran,South Korea,2012 Global StarCraft II League Season 5 top4,10/13/10,12/31/15,Active,3/19/05
Hack,Terran,South Korea,2013 WCS Season 3 America top6,10/18/10,12/31/15,Active,3/14/05
Flash,Terran,South Korea,DEITY,5/20/12,12/1/15,12/1/15,7/13/03
SuperNova,Terran,South Korea,IEM Season VI - Global Challenge Sao Paulo top2,2/25/11,8/31/15,8/31/15,7/5/04
Apocalypse,Terran,South Korea,2013 WCS Season 1 America top16,1/30/12,12/31/15,Active,12/1/03
TheStC,Terran,South Korea,MLG Pro Circuit 2012 Ð Summer Championship top4,5/1/10,4/30/14,4/30/14,12/30/03
GuMiho,Terran,South Korea,2012 Global StarCraft II League Season 1: Code S top4,11/24/10,12/31/15,Active,2/5/05
jjakji,Terran,South Korea,2011 Global StarCraft II League November: Code S winner,2/25/11,12/31/15,Active,11/4/04
Heart,Terran,South Korea,2014 WCS Season 3 America top2,8/19/11,11/18/15,11/18/15,3/31/04
YoDa,Terran,South Korea,IEM Season VII - World Championship,1/31/11,10/19/15,10/19/15,9/17/04
Cure,Terran,South Korea,2014 Red Bull Battle Grounds: Washington top2,7/16/12,12/31/15,Active,6/16/03
Dream,Terran,South Korea,Multiple runner-up in SSL,12/15/10,12/31/15,Active,1/15/05
FanTasy,Terran,South Korea,IEM Season X - gamescom top4,5/20/12,12/31/15,Active,8/12/03
TY,Terran,South Korea,2015 StarCraft II StarLeague Season 3 top4,11/4/11,12/31/15,Active,2/26/04
Bbyong,Terran,South Korea,IEM Season IX - World Championship top4,5/27/12,12/31/15,Active,8/5/03
MarineKing,Terran,South Korea,2012 MLG Winter Championship winner,10/12/10,12/31/15,Active,3/20/05
PuMa,Terran,South Korea,North American Star League Season 2 winner,3/21/11,3/15/13,3/15/13,12/25/01
TOP,Terran,South Korea,2011 GSL August: Code S top2,8/28/10,12/31/15,Active,5/4/05
Sting,Terran,South Korea,IEM Season VII - Singapore winner,10/18/12,12/31/13,12/31/13,3/14/01
KeeN,Terran,South Korea,TeamLiquid StarLeague 4 top4,12/15/10,12/31/15,Active,1/15/05
RainBOw,Terran,South Korea,2010 TG Sambo Intel Starcraft II Open Season 1 top2,7/27/10,6/26/12,6/26/12,11/30/01
LiveForever,Terran,South Korea,2010 TG Sambo Intel Starcraft II Open Season top4,7/27/10,1/29/11,1/29/11,7/4/00
Ensnare,Terran,South Korea,2010 TG Sambo Intel Starcraft II Open Season 1 top4,7/27/10,7/10/11,7/10/11,12/13/00
Maka,Terran,South Korea,2010 TG Sambo Intel Starcraft II Open Season 1 top8,5/19/10,1/13/13,1/13/13,8/27/02
BoxeR,Terran,South Korea,The Emperor,10/9/10,9/26/13,9/26/13,12/18/02
NaDa,Terran,South Korea,Bonjwa,10/9/10,6/16/12,6/16/12,9/7/01
TheBest,Terran,South Korea,2011 GSL Super Tournament top8,10/7/10,10/7/13,10/7/13,12/31/02
Hyperdub,Terran,South Korea,,8/28/10,8/1/11,8/1/11,12/3/00
Clide,Terran,South Korea,,8/28/10,7/26/12,7/26/12,11/28/01
Lyn,Terran,South Korea,,8/31/11,5/24/12,5/24/12,9/23/00
sC,Terran,South Korea,,10/1/10,8/13/14,8/13/14,11/12/03
Virus,Terran,South Korea,,2/21/11,7/2/12,7/2/12,5/11/01
Happy,Terran,South Korea,,6/27/11,3/26/13,3/26/13,9/29/01
Noblesse,Terran,South Korea,,12/15/10,8/13/14,8/13/14,8/29/03
asd,Terran,South Korea,,2/7/11,1/31/13,1/31/13,12/24/01
GanZi,Terran,South Korea,,7/27/10,8/7/13,8/7/13,1/11/03
Last,Terran,South Korea,,5/20/12,12/20/13,12/20/13,8/1/01
Reality,Terran,South Korea,2015 DreamHack Open: Stockholm top4,5/20/12,12/31/15,Active,8/12/03
Sorry,Terran,South Korea,,8/30/11,12/31/15,Active,5/2/04
SkyHigh,Terran,South Korea,,5/20/12,11/27/15,11/27/15,7/9/03
Shuttle,Terran,South Korea,,2/25/11,10/7/13,10/7/13,8/12/02
Canata,Terran,South Korea,,5/20/12,7/19/12,7/19/12,2/28/00
Iris,Terran,South Korea,,5/20/12,12/23/12,12/23/12,8/4/00
Organ,Terran,South Korea,,5/20/12,10/1/13,10/1/13,5/13/01
Snow,Terran,South Korea,,5/8/11,5/28/13,5/28/13,1/20/02
Horang2,Terran,South Korea,,5/20/12,12/12/12,12/12/12,7/24/00
Miso,Terran,South Korea,,9/18/12,12/31/15,Active,4/13/03
BarrrackS,Terran,South Korea,,5/20/12,12/23/13,12/23/13,8/4/01
Mind,Terran,South Korea,,11/4/11,9/1/13,9/1/13,10/28/01
BrAvO,Terran,South Korea,,5/20/12,12/31/15,Active,8/12/03
Guilty,Terran,South Korea,,3/27/13,12/31/15,Active,10/5/02
Journey,Terran,South Korea,,4/4/13,12/31/15,Active,9/27/02
TurN,Terran,South Korea,,5/20/12,11/13/14,11/13/14,6/25/02
Sharp,Terran,South Korea,,5/20/12,10/10/12,10/10/12,5/22/00
DynaMite,Terran,South Korea,,11/18/13,12/31/15,Active,2/11/02
sSak,Terran,South Korea,,5/20/12,12/31/13,12/31/13,8/12/01
Hanbin,Terran,South Korea,,1/31/13,11/11/13,11/11/13,10/10/00
Light,Terran,South Korea,,5/20/12,9/17/13,9/17/13,4/29/01
Sea,Terran,South Korea,,11/4/11,12/17/12,12/17/12,2/12/01
Neige,Terran,South Korea,,1/31/13,3/17/14,3/17/14,2/13/01
